experiment_type,device,subset_id,qubits,N,lambda2,C,depth,K,shots,mean_P_return,sem_P_return,timestamp
loschmidt_echo,Ankaa-3,7,"(21, 22, 28, 29, 30, 35, 36)",7,0.49999999999999967,3.499999999999998,30,5,1000,0.8629999999999999,0.005039841267341665,2025-12-18T17:28:22.405962
loschmidt_echo,Ankaa-3,8,"(47, 53, 54, 55, 61, 62, 69)",7,0.3545027756320972,2.4815194294246803,5,5,1000,0.6237999999999999,0.0019849433241279223,2025-12-18T17:28:37.200000
loschmidt_echo,Ankaa-3,8,"(47, 53, 54, 55, 61, 62, 69)",7,0.3545027756320972,2.4815194294246803,10,5,1000,0.623,0.0040987803063838426,2025-12-18T17:28:53.546333
loschmidt_echo,Ankaa-3,8,"(47, 53, 54, 55, 61, 62, 69)",7,0.3545027756320972,2.4815194294246803,20,5,1000,0.628,0.010681760154581275,2025-12-18T17:29:10.638504
loschmidt_echo,Ankaa-3,8,"(47, 53, 54, 55, 61, 62, 69)",7,0.3545027756320972,2.4815194294246803,30,5,1000,0.6304000000000001,0.008195120499419159,2025-12-18T17:29:29.882657
loschmidt_echo,Ankaa-3,9,"(21, 28, 29, 35, 36, 37, 43)",7,0.35450277563209687,2.481519429424678,5,5,1000,0.8702,0.003760319135392636,2025-12-18T17:29:44.659961
loschmidt_echo,Ankaa-3,9,"(21, 28, 29, 35, 36, 37, 43)",7,0.35450277563209687,2.481519429424678,10,5,1000,0.8705999999999999,0.010313098467482998,2025-12-18T17:29:58.432554
loschmidt_echo,Ankaa-3,9,"(21, 28, 29, 35, 36, 37, 43)",7,0.35450277563209687,2.481519429424678,20,5,1000,0.8725999999999999,0.0025019992006393627,2025-12-18T17:30:16.969938
loschmidt_echo,Ankaa-3,9,"(21, 28, 29, 35, 36, 37, 43)",7,0.35450277563209687,2.481519429424678,30,5,1000,0.8806,0.002874021572639985,2025-12-18T17:30:37.677369
loschmidt_echo,Ankaa-3,10,"(6, 12, 13, 19, 20, 26, 27)",7,0.3648972679471421,2.5542808756299946,5,5,1000,0.9176,0.0032341923257592485,2025-12-18T17:30:52.504609
loschmidt_echo,Ankaa-3,10,"(6, 12, 13, 19, 20, 26, 27)",7,0.3648972679471421,2.5542808756299946,10,5,1000,0.9181999999999999,0.003652396473549938,2025-12-18T17:31:06.886203
loschmidt_echo,Ankaa-3,10,"(6, 12, 13, 19, 20, 26, 27)",7,0.3648972679471421,2.5542808756299946,20,5,1000,0.9208000000000002,0.001714642819948226,2025-12-18T17:31:24.841906
loschmidt_echo,Ankaa-3,10,"(6, 12, 13, 19, 20, 26, 27)",7,0.3648972679471421,2.5542808756299946,30,5,1000,0.9128000000000001,0.0026907248094147442,2025-12-18T17:31:44.786761
loschmidt_echo,Ankaa-3,11,"(32, 33, 34, 39, 40, 41, 47)",7,0.49999999999999956,3.499999999999997,5,5,1000,0.9128000000000001,0.004684015371452152,2025-12-18T17:31:57.797735
loschmidt_echo,Ankaa-3,11,"(32, 33, 34, 39, 40, 41, 47)",7,0.49999999999999956,3.499999999999997,10,5,1000,0.915,0.0016431676725154997,2025-12-18T17:32:14.374977
loschmidt_echo,Ankaa-3,11,"(32, 33, 34, 39, 40, 41, 47)",7,0.49999999999999956,3.499999999999997,20,5,1000,0.9092,0.003706750598570131,2025-12-18T17:32:30.946186
loschmidt_echo,Ankaa-3,11,"(32, 33, 34, 39, 40, 41, 47)",7,0.49999999999999956,3.499999999999997,30,5,1000,0.9064,0.004760252094164765,2025-12-18T17:32:51.133546
