block_index,spearman_rho,permutation_p,n,null_mean,null_std,perm_count
1,-0.2,0.7212,6,-0.0002971428571428577,0.4489275127524737,5000
2,0.3142857142857143,0.5734,6,0.002297142857142856,0.45206170415020086,5000
3,0.3714285714285715,0.485,6,-0.0019200000000000007,0.44324617397430194,5000
4,-0.7142857142857143,0.1376,6,0.005325714285714288,0.44324191122838075,5000
