block_index,subset_id,run_id,lambda2,C,alpha_echo,alpha_err,n_points_used,fit_eps,u_style
1,0,interleaved_N11_mixed,0.089684248522443,0.986526733746874,0.0009893328591594626,0.0015555031448206945,4,0.001,mixed
1,1,interleaved_N11_mixed,0.1712237839579215,1.8834616235371369,0.0012920213332465985,0.0019940953662362245,4,0.001,mixed
1,2,interleaved_N11_mixed,0.1666385159661117,1.833023675627229,0.007330966086230795,0.005445776126895872,4,0.001,mixed
1,3,interleaved_N11_mixed,0.3300496948573115,3.6305466434304265,-0.00046341532164378556,0.0014228005807515158,4,0.001,mixed
1,4,interleaved_N11_mixed,0.3300496948573114,3.630546643430426,0.0034346562260726384,0.002042464716170793,4,0.001,mixed
1,5,interleaved_N11_mixed,0.3300496948573113,3.6305466434304248,0.002486346144808585,0.0020236289240911074,4,0.001,mixed
2,0,interleaved_N11_mixed,0.089684248522443,0.986526733746874,-0.0010338997349731275,0.00045842115278962447,4,0.001,mixed
2,1,interleaved_N11_mixed,0.1712237839579215,1.8834616235371369,0.0009478570394189076,0.00026871733730020564,4,0.001,mixed
2,2,interleaved_N11_mixed,0.1666385159661117,1.833023675627229,-0.007863488880249025,0.0070497679360716475,4,0.001,mixed
2,3,interleaved_N11_mixed,0.3300496948573115,3.6305466434304265,0.00013230679513670518,0.0006984543425804303,4,0.001,mixed
2,4,interleaved_N11_mixed,0.3300496948573114,3.630546643430426,-0.0017695979091170932,0.001369622889477547,4,0.001,mixed
2,5,interleaved_N11_mixed,0.3300496948573113,3.6305466434304248,-0.0009693220051255211,0.002875713942287502,4,0.001,mixed
3,0,interleaved_N11_mixed,0.089684248522443,0.986526733746874,-0.001509323738899207,0.0010629379383416606,4,0.001,mixed
3,1,interleaved_N11_mixed,0.1712237839579215,1.8834616235371369,0.0006368973390887573,0.0005415904382986435,4,0.001,mixed
3,2,interleaved_N11_mixed,0.1666385159661117,1.833023675627229,0.0022893030585387497,0.0019460480989473598,4,0.001,mixed
3,3,interleaved_N11_mixed,0.3300496948573115,3.6305466434304265,0.0008128099701284766,0.0011103646028391124,4,0.001,mixed
3,4,interleaved_N11_mixed,0.3300496948573114,3.630546643430426,0.0013550784832545236,0.0013384636814067214,4,0.001,mixed
3,5,interleaved_N11_mixed,0.3300496948573113,3.6305466434304248,0.0006715317098998988,0.0010339284326463716,4,0.001,mixed
4,0,interleaved_N11_mixed,0.089684248522443,0.986526733746874,0.0013757102548491718,0.001957314489422552,4,0.001,mixed
4,1,interleaved_N11_mixed,0.1712237839579215,1.8834616235371369,-0.0007207243864973082,0.0008022362076576458,4,0.001,mixed
4,2,interleaved_N11_mixed,0.1666385159661117,1.833023675627229,0.005932184657858441,0.0016266842848372408,4,0.001,mixed
4,3,interleaved_N11_mixed,0.3300496948573115,3.6305466434304265,-0.0007375241430642151,0.0014856851872027102,4,0.001,mixed
4,4,interleaved_N11_mixed,0.3300496948573114,3.630546643430426,-0.0012091938476013059,0.0014625421052326456,4,0.001,mixed
4,5,interleaved_N11_mixed,0.3300496948573113,3.6305466434304248,-0.0017054109023422527,6.691594493155689e-05,4,0.001,mixed
