block_index,subset_id,run_id,lambda2,C,alpha_echo,alpha_err,n_points_used,fit_eps,u_style
1,0,interleaved_N11_global,0.089684248522443,0.986526733746874,0.002995795243358389,0.00025698191721155696,4,0.001,global
1,1,interleaved_N11_global,0.1712237839579215,1.8834616235371369,0.0015027096600905509,0.0007523028358383564,4,0.001,global
1,2,interleaved_N11_global,0.1666385159661117,1.833023675627229,0.004570888582887312,0.004600504329868462,4,0.001,global
1,3,interleaved_N11_global,0.3300496948573115,3.6305466434304265,0.0027164827646458207,0.0007017852546237212,4,0.001,global
1,4,interleaved_N11_global,0.3300496948573114,3.630546643430426,-0.0011752412108993666,0.002261395428352485,4,0.001,global
1,5,interleaved_N11_global,0.3300496948573113,3.6305466434304248,0.00024164364391162236,0.0009751357730258379,4,0.001,global
2,0,interleaved_N11_global,0.089684248522443,0.986526733746874,0.0015222726926921713,0.0013109682463166158,4,0.001,global
2,1,interleaved_N11_global,0.1712237839579215,1.8834616235371369,-0.0012341856975417217,0.0004832560394751291,4,0.001,global
2,2,interleaved_N11_global,0.1666385159661117,1.833023675627229,-0.0006560416012137193,0.007860783308969086,4,0.001,global
2,3,interleaved_N11_global,0.3300496948573115,3.6305466434304265,0.003937275573143749,0.0018494453500620574,4,0.001,global
2,4,interleaved_N11_global,0.3300496948573114,3.630546643430426,-0.0010654851135013326,0.0011914265335573162,4,0.001,global
2,5,interleaved_N11_global,0.3300496948573113,3.6305466434304248,-0.0020174143350883663,0.0018099557957645563,4,0.001,global
3,0,interleaved_N11_global,0.089684248522443,0.986526733746874,-0.00026392193690644855,0.002271551944926204,4,0.001,global
3,1,interleaved_N11_global,0.1712237839579215,1.8834616235371369,-0.000574122345551878,0.0009789960424199204,4,0.001,global
3,2,interleaved_N11_global,0.1666385159661117,1.833023675627229,0.00152875456080801,0.0026456171873990054,4,0.001,global
3,3,interleaved_N11_global,0.3300496948573115,3.6305466434304265,-0.00041497737381161195,0.0025831970474168406,4,0.001,global
3,4,interleaved_N11_global,0.3300496948573114,3.630546643430426,-0.0008128956866598341,0.002024496572360264,4,0.001,global
3,5,interleaved_N11_global,0.3300496948573113,3.6305466434304248,-0.0007219463042937635,0.0005067482352028578,4,0.001,global
4,0,interleaved_N11_global,0.089684248522443,0.986526733746874,-0.0009462364773485665,0.00043519453280434195,4,0.001,global
4,1,interleaved_N11_global,0.1712237839579215,1.8834616235371369,-0.01768569936753959,0.0038835654977655916,4,0.001,global
4,2,interleaved_N11_global,0.1666385159661117,1.833023675627229,-0.018301684127398254,0.005089922098877392,4,0.001,global
4,3,interleaved_N11_global,0.3300496948573115,3.6305466434304265,0.001216152004100128,0.001733386015805849,4,0.001,global
4,4,interleaved_N11_global,0.3300496948573114,3.630546643430426,0.003151453351334535,0.0014637600531310778,4,0.001,global
4,5,interleaved_N11_global,0.3300496948573113,3.6305466434304248,-0.0007887842769650835,0.001110069015137578,4,0.001,global
