backend,subset_id,qubits,N,lambda2,C,edges_count,avg_degree,diameter,lengths,num_samples,alpha,alpha_err,epc,epc_err,job_ids,timestamp,status
ibm_torino,0,"(6, 7, 8, 9, 10, 11, 17)",7,0.18350341907227388,1.284523933505917,6,1.7142857142857142,5,"[1, 2, 4, 8, 16, 32]",20,0.4866799798120319,0.010971459020636062,0.5093097075302496,0.010885744497037343,d528h4np3tbc73al8t6g,2025-12-18T13:08:20.638855,ok
ibm_torino,1,"(42, 54, 59, 60, 61, 62, 63)",7,0.2928932188134526,2.050252531694168,6,1.7142857142857142,4,"[1, 2, 4, 8, 16, 32]",20,0.5041970066329813,0.008498947636139358,0.49192953248133886,0.008432549607732018,d528ir8nsj9s73avnc1g,2025-12-18T13:12:09.669144,ok
ibm_torino,2,"(7, 8, 9, 17, 26, 27, 28)",7,0.18350341907227435,1.2845239335059204,6,1.7142857142857142,4,"[1, 2, 4, 8, 16, 32]",20,0.37906903399969244,0.011709915214840298,0.6160799428284301,0.011618431502224358,d528kkfp3tbc73al90cg,2025-12-18T13:16:03.159973,ok
