device,subset_id,qubits,N,lambda2,C,edges_count,avg_degree,diameter,depths,shots,alpha,alpha_err,epc,epc_err,success_probs,task_ids,timestamp,status
Ankaa-3,0,"(0, 7, 8, 14, 15, 16, 21, 22, 28)",9,0.29289321881345254,2.636038969321073,10,2.2222222222222223,4,"[5, 10, 20, 30]",500,0.5697282592265271,0.8995184199566342,0.43027174077347285,0.8995184199566342,"[0.782, 0.748, 0.756, 0.736]",,2025-12-18T15:53:23.931762,ok
Ankaa-3,1,"(63, 64, 70, 71, 72, 73, 77, 78, 79)",9,0.2859997198832242,2.5739974789490176,11,2.4444444444444446,4,"[5, 10, 20, 30]",500,0.39274333858085614,23.324491308330128,0.6072566614191439,23.324491308330128,"[0.482, 0.472, 0.458, 0.488]",,2025-12-18T15:53:33.985402,ok
Ankaa-3,2,"(13, 18, 19, 20, 24, 25, 26, 27, 33)",9,0.28572044881204745,2.571484039308427,10,2.2222222222222223,5,"[5, 10, 20, 30]",500,0.8058523161143656,0.8890975598853865,0.19414768388563441,0.8890975598853865,"[0.932, 0.924, 0.87, 0.93]",,2025-12-18T15:53:43.817600,ok
Ankaa-3,3,"(36, 37, 38, 44, 45, 50, 51, 52, 58)",9,0.24606843828411407,2.2146159445570266,10,2.2222222222222223,4,"[5, 10, 20, 30]",500,0.9991358655969755,0.21515192568572003,0.0008641344030244635,0.21515192568572003,"[0.754, 0.752, 0.754, 0.736]",,2025-12-18T15:53:52.740814,ok
Ankaa-3,4,"(1, 2, 3, 4, 5, 9, 10, 11, 17)",9,0.2928932188134526,2.6360389693210733,10,2.2222222222222223,4,"[5, 10, 20, 30]",500,0.4258107766660119,12.660457408799758,0.574189223333988,12.660457408799758,"[0.832, 0.798, 0.826, 0.828]",,2025-12-18T15:54:02.983184,ok
Ankaa-3,5,"(66, 67, 72, 73, 74, 75, 79, 80, 81)",9,0.2928932188134529,2.6360389693210764,10,2.2222222222222223,4,"[5, 10, 20, 30]",500,0.005182508964169316,0.0,0.9948174910358307,0.0,"[0.626, 0.664, 0.642, 0.664]",,2025-12-18T15:54:13.132799,ok
Ankaa-3,6,"(30, 31, 32, 36, 37, 38, 39, 44, 45)",9,0.3227227733393225,2.9045049600539024,11,2.4444444444444446,4,"[5, 10, 20, 30]",500,0.9999998100478085,9673784.213795558,1.8995219153161713e-07,9673784.213795558,"[0.762, 0.794, 0.81, 0.796]",,2025-12-18T15:54:22.335322,ok
Ankaa-3,7,"(21, 22, 28, 29, 30, 35, 36, 37, 43)",9,0.32272277333932264,2.9045049600539037,11,2.4444444444444446,4,"[5, 10, 20, 30]",500,0.9999996743259,0.0,3.2567410002126707e-07,0.0,"[0.83, 0.82, 0.844, 0.848]",,2025-12-18T15:54:32.269463,ok
Ankaa-3,8,"(26, 32, 33, 34, 38, 39, 40, 41, 47)",9,0.3502871251447228,3.1525841263025054,10,2.2222222222222223,4,"[5, 10, 20, 30]",500,0.9999992726068595,9.469658397467714e-06,7.273931404983003e-07,9.469658397467714e-06,"[0.87, 0.854, 0.878, 0.872]",,2025-12-18T15:54:42.694539,ok
Ankaa-3,9,"(47, 53, 54, 55, 60, 61, 62, 68, 69)",9,0.32272277333932203,2.9045049600538984,11,2.4444444444444446,4,"[5, 10, 20, 30]",500,0.01121769375248996,0.0,0.9887823062475101,0.0,"[0.37, 0.386, 0.414, 0.38]",,2025-12-18T15:54:52.960648,ok
Ankaa-3,10,"(55, 61, 62, 67, 68, 69, 74, 75, 76)",9,0.2671368303216224,2.4042314728946015,11,2.4444444444444446,5,"[5, 10, 20, 30]",500,0.477377798523331,7.404327923246513,0.522622201476669,7.404327923246513,"[0.626, 0.59, 0.58, 0.632]",,2025-12-18T15:55:01.036828,ok
Ankaa-3,11,"(4, 5, 6, 11, 12, 13, 19, 20, 27)",9,0.2671368303216227,2.4042314728946046,11,2.4444444444444446,5,"[5, 10, 20, 30]",500,0.4539567025221882,6.439033702537993,0.5460432974778118,6.439033702537993,"[0.892, 0.856, 0.886, 0.874]",,2025-12-18T15:55:11.003268,ok
Ankaa-3,12,"(5, 6, 12, 13, 18, 19, 20, 26, 27)",9,0.25816811891886904,2.3235130702698212,11,2.4444444444444446,4,"[5, 10, 20, 30]",500,0.4686882860801825,1.3798979161257903,0.5313117139198176,1.3798979161257903,"[0.868, 0.842, 0.85, 0.844]",,2025-12-18T15:55:20.747819,ok
Ankaa-3,13,"(58, 59, 64, 65, 66, 72, 73, 74, 80)",9,0.2810561902475349,2.5295057122278144,10,2.2222222222222223,4,"[5, 10, 20, 30]",500,0.36543790231855017,48.11832053019438,0.6345620976814499,48.11832053019438,"[0.574, 0.558, 0.558, 0.586]",,2025-12-18T15:55:29.228919,ok
Ankaa-3,14,"(56, 63, 64, 65, 70, 71, 72, 77, 78)",9,0.3545027756320973,3.190524980688876,11,2.4444444444444446,4,"[5, 10, 20, 30]",500,0.00035191023416666217,0.0,0.9996480897658333,0.0,"[0.49, 0.498, 0.5, 0.526]",,2025-12-18T15:55:40.408710,ok
