device,family,N_requested,N_used,lambda2,C,alpha_hat,n_points
erdos_renyi_N10,erdos_renyi,10,10,0.4764877890546201,4.764877890546201,0.024520464418466312,2
erdos_renyi_N8,erdos_renyi,8,8,0.7418011102528389,5.934408882022711,-0.010327094376419358,4
grid_N9,grid,9,9,0.4226497308103741,3.803847577293367,-0.01528965829945008,10
random_regular_4_N10,random_regular_4,10,10,0.4482003441767406,4.4820034417674055,1.5503809075661347e-17,2
random_regular_4_N8,random_regular_4,8,8,0.6464466094067262,5.171572875253809,0.026409873198207392,4
ring_N10,ring,10,10,0.19098300562505263,1.9098300562505264,-3.4963903365375124e-17,2
ring_N8,ring,8,8,0.2928932188134524,2.3431457505076194,0.006575146617789581,4
small_world_N10,small_world,10,10,0.3081708537134385,3.081708537134385,0.036772478012531695,2
small_world_N8,small_world,8,8,0.5748579315330459,4.598863452264367,-0.013402111551214294,4
